id,status,title,slug,cluster,main_keyword,search_intent,structure_type,published_at,draft_path
"pg-001","done","KIPRIS 검색식 판단 기준: 배터리 소재 키워드 확인표","kipris-query-criteria","KIPRIS 검색","KIPRIS 검색식 판단 기준","의사결정형","판단트리형","2026-06-28T11:47:18+09:00","content/posts/kipris-query-criteria.md"
"pg-002","done","KIPRIS 검색식 실수 방지: 배터리 소재 키워드 누락을 줄이는 법","kipris-query-mistake","KIPRIS 검색","KIPRIS 검색식 실수 방지","문제해결형","실수방지형","2026-06-28T16:47:18+09:00","content/posts/kipris-query-mistake.md"
"pg-003","done","KIPRIS 검색식 비교 기준: 배터리 소재 키워드 권리 신호 나누기","kipris-query-comparison","KIPRIS 검색","KIPRIS 검색식 비교 기준","비교형","비교형","2026-06-28T21:47:18+09:00","content/posts/kipris-query-comparison.md"
"pg-004","done","KIPRIS 검색식 실무 순서: 배터리 소재 키워드 원문 확인 흐름","kipris-query-workflow","KIPRIS 검색","KIPRIS 검색식 실무 순서","실행형","절차형","2026-06-29T02:47:18+09:00","content/posts/kipris-query-workflow.md"
"pg-005","done","KIPRIS 검색식 상황별 해석: 배터리 소재 키워드 실무 질문 3가지","kipris-query-situation","KIPRIS 검색","KIPRIS 검색식 상황별 해석","질문응답형","상황별분기형","2026-06-29T07:47:18+09:00","content/posts/kipris-query-situation.md"
"pg-006","done","출원인명 정규화 판단 기준: 계열사 사명 변경 확인표","applicant-normalization-criteria","출원인 정규화","출원인명 정규화 판단 기준","의사결정형","판단트리형","2026-06-29T12:47:18+09:00","content/posts/applicant-normalization-criteria.md"
"pg-007","done","출원인명 정규화 실수 방지: 계열사 사명 변경 누락을 줄이는 법","applicant-normalization-mistake","출원인 정규화","출원인명 정규화 실수 방지","문제해결형","실수방지형","2026-06-29T17:47:18+09:00","content/posts/applicant-normalization-mistake.md"
"pg-008","done","출원인명 정규화 비교 기준: 계열사 사명 변경 권리 신호 나누기","applicant-normalization-comparison","출원인 정규화","출원인명 정규화 비교 기준","비교형","비교형","2026-06-29T22:47:18+09:00","content/posts/applicant-normalization-comparison.md"
"pg-009","done","출원인명 정규화 실무 순서: 계열사 사명 변경 원문 확인 흐름","applicant-normalization-workflow","출원인 정규화","출원인명 정규화 실무 순서","실행형","절차형","2026-06-30T03:47:18+09:00","content/posts/applicant-normalization-workflow.md"
"pg-010","done","출원인명 정규화 상황별 해석: 계열사 사명 변경 실무 질문 3가지","applicant-normalization-situation","출원인 정규화","출원인명 정규화 상황별 해석","질문응답형","상황별분기형","2026-06-30T08:47:18+09:00","content/posts/applicant-normalization-situation.md"
"pg-011","done","IPC CPC 분류 판단 기준: H01M 배터리 분류 확인표","ipc-cpc-map-criteria","IPC와 CPC","IPC CPC 분류 판단 기준","의사결정형","판단트리형","2026-06-30T13:47:18+09:00","content/posts/ipc-cpc-map-criteria.md"
"pg-012","done","IPC CPC 분류 실수 방지: H01M 배터리 분류 누락을 줄이는 법","ipc-cpc-map-mistake","IPC와 CPC","IPC CPC 분류 실수 방지","문제해결형","실수방지형","2026-06-30T18:47:18+09:00","content/posts/ipc-cpc-map-mistake.md"
"pg-013","done","IPC CPC 분류 비교 기준: H01M 배터리 분류 권리 신호 나누기","ipc-cpc-map-comparison","IPC와 CPC","IPC CPC 분류 비교 기준","비교형","비교형","2026-06-30T23:47:18+09:00","content/posts/ipc-cpc-map-comparison.md"
"pg-014","done","IPC CPC 분류 실무 순서: H01M 배터리 분류 원문 확인 흐름","ipc-cpc-map-workflow","IPC와 CPC","IPC CPC 분류 실무 순서","실행형","절차형","2026-07-01T04:47:18+09:00","content/posts/ipc-cpc-map-workflow.md"
"pg-015","done","IPC CPC 분류 상황별 해석: H01M 배터리 분류 실무 질문 3가지","ipc-cpc-map-situation","IPC와 CPC","IPC CPC 분류 상황별 해석","질문응답형","상황별분기형","2026-07-01T09:47:18+09:00","content/posts/ipc-cpc-map-situation.md"
"pg-016","done","특허맵 설계 판단 기준: 분야·연도·출원인 축 확인표","patent-map-design-criteria","특허맵 설계","특허맵 설계 판단 기준","의사결정형","판단트리형","2026-07-01T14:47:18+09:00","content/posts/patent-map-design-criteria.md"
"pg-017","done","특허맵 설계 실수 방지: 분야·연도·출원인 축 누락을 줄이는 법","patent-map-design-mistake","특허맵 설계","특허맵 설계 실수 방지","문제해결형","실수방지형","2026-07-01T19:47:18+09:00","content/posts/patent-map-design-mistake.md"
